Date,Open,High,Low,Close,Adj Close,Volume
6/11/2020,4.41,4.45,4.22,4.26,4.26,2897600
6/12/2020,4.35,4.38,4,4.1,4.1,2828800
6/15/2020,4.06,4.39,4.02,4.39,4.39,1604100
6/16/2020,4.42,4.55,4.34,4.46,4.46,1393300
6/17/2020,4.48,4.55,4.3,4.51,4.51,1726200
6/18/2020,4.5,4.6,4.43,4.49,4.49,1210000
6/19/2020,4.48,4.69,4.42,4.57,4.57,5237400
6/22/2020,4.65,4.79,4.56,4.78,4.78,2207100
6/23/2020,4.79,4.87,4.65,4.7,4.7,1722100
6/24/2020,4.69,4.88,4.59,4.6,4.6,1639800
6/25/2020,4.59,4.88,4.55,4.8,4.8,1719200
6/26/2020,4.71,4.78,4.46,4.51,4.51,2079000
6/29/2020,4.57,4.66,4.5,4.56,4.56,991600
6/30/2020,4.57,4.64,4.46,4.62,4.62,1126400
7/1/2020,4.57,4.86,4.56,4.82,4.82,1558800
7/2/2020,4.87,4.89,4.74,4.81,4.81,1296600
7/6/2020,4.84,5,4.79,4.9,4.9,1947400
7/7/2020,4.91,5.1,4.82,5.02,5.02,1395900
7/8/2020,5.02,5.15,5,5.08,5.08,1256800
7/9/2020,5.06,5.19,4.97,5.01,5.01,1010600
7/10/2020,5,5.12,4.92,4.94,4.94,954800
7/13/2020,5.01,5.06,4.73,4.74,4.74,1245500
7/14/2020,4.77,4.97,4.74,4.96,4.96,1275400
7/15/2020,5.04,5.14,5,5.08,5.08,1329500
7/16/2020,5.08,5.08,4.99,5.06,5.06,785400
7/17/2020,5.05,5.11,4.97,5.01,5.01,1271300
7/20/2020,5.07,5.08,4.89,4.96,4.96,1286900
7/21/2020,4.99,5,4.79,4.8,4.8,1539400
7/22/2020,4.84,4.94,4.82,4.91,4.91,1368100
7/23/2020,4.93,4.93,4.71,4.77,4.77,1216900
7/24/2020,4.74,4.78,4.65,4.72,4.72,930200
7/27/2020,4.73,4.85,4.7,4.85,4.85,1076500
7/28/2020,4.88,4.88,4.66,4.67,4.67,1272000
7/29/2020,4.72,4.72,4.49,4.54,4.54,1196600
7/30/2020,4.54,4.78,4.49,4.7,4.7,1234400
7/31/2020,4.26,4.49,3.92,4.3,4.3,4604200
8/3/2020,4.25,4.26,4.04,4.13,4.13,1999500
8/4/2020,4.12,4.17,4.05,4.13,4.13,2208400
8/5/2020,4.18,4.23,4.1,4.13,4.13,1020900
8/6/2020,4.15,4.22,4.13,4.14,4.14,1216100
8/7/2020,4.17,4.2,3.96,4.05,4.05,2708100
8/10/2020,4.12,4.33,4.05,4.26,4.26,3598100
8/11/2020,3.91,3.96,3.26,3.34,3.34,9388000
8/12/2020,3.45,3.48,3.23,3.36,3.36,5038100
8/13/2020,3.36,3.45,3.23,3.41,3.41,2934000
